LHS,RHS,antecedent support,consequent support,support,confidence,lift,leverage,conviction
สาลี่นมแมว,สาลี่กาแฟ,0.20278967736594855,0.11319612590799032,0.06483206059477246,0.3197009898969283,2.824310349249869,0.04187705474281582,1.303550146218279
สาลี่กาแฟ,สาลี่นมแมว,0.11319612590799032,0.20278967736594855,0.06483206059477246,0.5727409845056904,2.824310349249869,0.04187705474281582,1.8658712718132664
สาลี่กาแฟ,สาลี่ใบเตย,0.11319612590799032,0.26069410815173527,0.07979967302001201,0.7049682343799991,2.704197035284269,0.05029010993019693,2.5058518369865506
สาลี่ใบเตย,สาลี่กาแฟ,0.26069410815173527,0.11319612590799032,0.07979967302001201,0.30610462808605227,2.704197035284269,0.05029010993019693,1.278008054220003
สาลี่นมฮอกไกโด,สาลี่ใบเตย,0.08230893400384925,0.26069410815173527,0.05027317315452909,0.6107863473505564,2.3429234810134343,0.02881571901147557,1.8994860196082115
สาลี่ใบเตย,สาลี่นมฮอกไกโด,0.26069410815173527,0.08230893400384925,0.05027317315452909,0.19284353417480354,2.3429234810134347,0.02881571901147557,1.1369432134300619
สาลี่นมแมว,สาลี่มะลิ,0.20278967736594855,0.1621706918317088,0.09846650524616626,0.4855597509949995,2.9941276411331144,0.06557996297140137,1.6286231681692296
สาลี่มะลิ,สาลี่นมแมว,0.1621706918317088,0.20278967736594855,0.09846650524616626,0.6071781783378529,2.994127641133115,0.06557996297140137,2.0294451037898433
สาลี่นมแมว,สาลี่ใบเตย,0.20278967736594855,0.26069410815173527,0.14795327083462675,0.7295897540565364,2.7986430503902433,0.09508719675133266,2.7340158257273877
สาลี่ใบเตย,สาลี่นมแมว,0.26069410815173527,0.20278967736594855,0.14795327083462675,0.5675359212510915,2.7986430503902433,0.09508719675133266,1.8434139661734013
สาลี่ใบเตย,สาลี่มะลิ,0.26069410815173527,0.1621706918317088,0.10883984189068935,0.4175001984599508,2.574449142100275,0.06656289801527213,1.438334066300428
สาลี่มะลิ,สาลี่ใบเตย,0.1621706918317088,0.26069410815173527,0.10883984189068935,0.6711437230818312,2.574449142100275,0.06656289801527213,2.24811245440278
เปี๊ยะนมข้นไส้เผือกผสมแห้วNew,สาลี่ใบเตย,0.13421183336437573,0.26069410815173527,0.059218559218559216,0.4412320265217224,1.6925278045214056,0.024230325016223977,1.3230999751939176
สาลี่ใบเตย,เปี๊ยะนมข้นไส้เผือกผสมแห้วNew,0.26069410815173527,0.13421183336437573,0.059218559218559216,0.22715725966499958,1.6925278045214056,0.024230325016223977,1.1202643454479952
"สาลี่นมแมว,สาลี่ใบเตย",สาลี่มะลิ,0.14795327083462675,0.1621706918317088,0.0711440160592703,0.48085463510158416,2.9651142858821053,0.0471503317692547,1.613862638130717
"สาลี่นมแมว,สาลี่มะลิ",สาลี่ใบเตย,0.09846650524616626,0.26069410815173527,0.0711440160592703,0.7225199663724254,2.7715239576948454,0.045474378291302825,2.6643570788972117
"สาลี่ใบเตย,สาลี่มะลิ",สาลี่นมแมว,0.10883984189068935,0.20278967736594855,0.0711440160592703,0.6536578409469032,3.2233289654449746,0.049072419637696554,2.3017998294335085
สาลี่นมแมว,"สาลี่ใบเตย,สาลี่มะลิ",0.20278967736594855,0.10883984189068935,0.0711440160592703,0.3508266149607103,3.2233289654449746,0.049072419637696554,1.372761389556005
สาลี่ใบเตย,"สาลี่นมแมว,สาลี่มะลิ",0.26069410815173527,0.09846650524616626,0.0711440160592703,0.272902278320235,2.771523957694846,0.045474378291302825,1.2399069174238113
สาลี่มะลิ,"สาลี่นมแมว,สาลี่ใบเตย",0.1621706918317088,0.14795327083462675,0.0711440160592703,0.438698356994736,2.9651142858821053,0.0471503317692547,1.5179836720295912
